1,张杰-仰望星空,明天过后,Pop_Rock|International|Country,/img/songPic/haikuotiankong.jpg
2,张杰-他不懂,爱，不解释,Pop_Rock|Jazz|Blues,/img/songPic/tabudong1.jpg
3,张杰-天下,明天过后,Pop_Rock|International,/img/songPic/haikuotiankong.jpg
4,张杰-如果爱,再爱我一回,Pop_Rock|Reggae,/img/songPic/haikuotiankong.jpg
5,张杰-逆战,中国新声代第二季 第十三期,Pop_Rock|Latin|Reggae,/img/songPic/nizhan.jpg
6,张杰-逆态度,中国新声代第二季 第十三期,Pop_Rock|Folk,/img/songPic/nizhan.jpg
7,张杰-何必在一起,穿越三部曲,Pop_Rock,/img/songPic/hebiyaozaiyiqi.jpg
8,张杰-剑心,拾,Pop_Rock,/img/songPic/jianxin.jpg
9,周杰伦-稻香,魔杰座,Pop_Rock|Vocal|Electronic,/img/songPic/daoxiang.jpg
10,周杰伦&潘儿-夜的第七章,依然范特西,Jazz|Pop_Rock|Vocal,/img/songPic/yedediqizhang.jpg
11,周杰伦-告白气球,床边故事,Pop_Rock,/img/songPic/gaobaiqiqui.jpg
12,周杰伦-夜曲,床边故事,Pop_Rock|Jazz,/img/songPic/gaobaiqiqui.jpg
13,周杰伦-红尘客栈,十二新作,Electronic|Pop_Rock,/img/songPic/hongchengkezhan.jpg
14,周杰伦-开不了口,范特西,Pop_Rock,/img/songPic/kaibulkou.jpg
15,周杰伦-菊花台,依然范特西,Electronic|Pop_Rock,/img/songPic/juhuatai.jpg
16,周杰伦-牛仔很忙,我很忙,Electronic|Blues|Pop_Rock,/img/songPic/nuizaihenmang.jpg
17,周杰伦-烟花易冷,跨时代,Pop_Rock|Jazz,/img/songPic/yanhuayileng.jpg
18,周杰伦-听妈妈的话,依然范特西,Pop_Rock,/img/songPic/yanhuayileng.jpg
19,周杰伦-七里香,七里香,Pop_Rock|Folk,/img/songPic/qilixiang.jpg
20,周杰伦-晴天,叶惠美,Pop_Rock|Jazz|Electronic,/img/songPic/qingtian.jpg
21,林允儿-月亮代表我的心,Blossom,Pop_Rock|Folk|Latin,/img/songPic/Blossom.jpg
22,林允儿-小幸运,Blossom,Pop_Rock|Reggae|Folk,/img/songPic/Blossom.jpg
23,林允儿-红豆,Blossom,Pop_Rock,/img/songPic/Blossom.jpg
24,陈奕迅-红玫瑰,The 1st Eleven Years 然后呢?,Pop_Rock|Jazz,/img/songPic/hongmeigui.jpg
25,陈奕迅 + 王菲-因为爱情,Stranger Under My Skin,Electronic,/img/songPic/yinweiaiqing.jpg
26,陈奕迅-不要说话,不想放手,Pop_Rock|Electronic,/img/songPic/buyaoshuohua.jpg
27,G.E.M.邓紫棋-泡沫,Xposed,Pop_Rock|Latin|New-Age,/img/songPic/paomo.jpg
28,G.E.M.邓紫棋-龙卷风,龙卷风,Pop_Rock,/img/songPic/longjuanfeng.jpg
29,G.E.M.邓紫棋-夜空中最亮的星,龙卷风,Pop_Rock|Rap|Blues,/img/songPic/yekongzhongzuiliangdexing.jpg
30,梁耀燮-Shadow (그림자),The First Collage,Pop_Rock,/img/songPic/Shadow.jpg
31,梁耀燮-리본(Ribbon),Highlight,Pop_Rock|Vocal,/img/songPic/Ribbon.jpg
32,梁耀燮-Bye Bye Love,Bye Bye Love,Pop_Rock|Country,/img/songPic/ByeByeLove.jpg
33,艺声-문 열어봐 (Here I am),Here I am,Pop_Rock,/img/songPic/HereIam.jpg
34,艺声-春天的阵雨 (Paper Umbrella),봄날의 소나기,Pop_Rock|Vocal,/img/songPic/Umbrella.jpg
35,艺声 + 灿烈-어떤 말로도 (Confession),봄날의 소나기,Pop_Rock,/img/songPic/Confession.jpg
36,Ennio Morricone-Once Upon a Time in the West,Once Upon a Time in the West,Pop_Rock|Folk|Reggae,/img/songPic/OnceUponaTimeintheWest.jpg
37,Ennio Morricone-Titoli,Per un Pugno di Dollari,Pop_Rock|RnB,/img/songPic/Titoli.jpg
38,林俊杰-关键词,和自己对话 From M.E. To Myself,Pop_Rock|Electronic,/img/songPic/guanjianci.jpg
39,林俊杰-期待爱,JJ陆,Pop_Rock|Folk|Reggae,/img/songPic/guanjianci.jpg
40,王力宏-需要人陪,十八般武艺,Electronic,/img/songPic/xuyaorenpei.jpg
41,Eminem-Love The Way You Lie,Life After Recovery,Pop_Rock|RnB,/img/songPic/LoveTheWayYouLie.jpg
42,Álvaro Soler-Sofía,Sofía,Pop_Rock,/img/songPic/1382086122014772.jpg
43,Álvaro Soler-El Mismo Sol,El Mismo Sol,Pop_Rock,/img/songPic/1382086122014772.jpg
44,Ennio Morricone-Il Buono Il Cattivo Il Brutto,"The Good, the Bad and the Ugly",Pop_Rock,/img/songPic/IlBuonoIlCattivoIlBrutto.jpg
45,田馥甄-魔鬼中的天使,My Love,Pop_Rock|Electronic,/img/songPic/moguizhongdetianshi.jpg
46,李荣浩 - 年少有为,耳朵,Pop_Rock,/img/songPic/lironghao.jpg
47,王力宏-大城小爱,盖世英雄,Pop_Rock|Jazz,/img/songPic/dachengxiaoai.jpg
48,陈奕迅-陪你度过漫长岁月,陪你度过漫长岁月,Pop_Rock,/img/songPic/qW4N08_Q8PSePV7iewwvHg==_34381728607582.jpg
49,华晨宇 + 杨宗纬-国王与乞丐,国王与乞丐,Pop_Rock,/img/songPic/109951163077613693.jpg
50,李克勤-护花使者,护花使者,Pop_Rock,/img/songPic/109951163157531184.jpg
51,李克勤-月半小夜曲,经典金曲,Pop_Rock|Electronic,/img/songPic/19196373509550737.jpg
52,李克勤-K歌之王,经典金曲,Pop_Rock|RnB|Folk,/img/songPic/796046418510127.jpg
53,李荣浩-李白,模特,Pop_Rock,/img/songPic/109951163187393370.jpg
54,李荣浩-作曲家,李荣浩,Pop_Rock|Blues|Folk,/img/songPic/3243559303261105.jpg
55,杨宗纬-多余,昨天今天明天,Pop_Rock|Reggae|Folk,/img/songPic/109951163167487498.jpg
56,毛不易-那时的我们,那时的我们,Pop_Rock,/img/songPic/109951163681898984.jpg
57,毛不易-无问,无问,Pop_Rock,/img/songPic/109951163099854364.jpg
58,张碧晨-一吻之间,一吻之间,Pop_Rock,/img/songPic/3244658814415290.jpg
59,张碧晨-下一秒,微微一笑很倾城,Pop_Rock|International|Latin,/img/songPic/1369991503018202.jpg
60,许嵩-我乐意,我乐意,Pop_Rock,/img/songPic/109951163261278540.jpg
61,IU-Twenty-three (二十三),CHAT-SHIRE,Pop_Rock|Jazz,/img/songPic/3285340745228795.jpg
62,IU-Someday,CHAT-드림하이 OST - (Dream High),Pop_Rock|Electronic,/img/songPic/778454232471313.jpg
63,金泰妍-제주도의 푸른 밤,밴드 고맙삼다,Pop_Rock,/img/songPic/1413971959305351.jpg
64,张国荣-当爱已成往事,当爱已成往事,Pop_Rock|Country|Blues,/img/songPic/103354093011859.jpg
65,张国荣-想你,想你,Pop_Rock|Rap|Latin,/img/songPic/78065325577772.jpg
67,张国荣-倩女幽魂,倩女幽魂,Electronic,/img/songPic/78065325577772.jpg
68,张国荣-最冷一天,最冷一天,Electronic,/img/songPic/103354093011859.jpg
69,田馥甄-小幸运,小幸运,Pop_Rock|Blues,/img/songPic/109951163520335473.jpg
