12,89,2,1672272076
1,57,6,1664642455
1,85,6,1666415091
2,69,10,1666626684
25,13,2,1667073642
2,95,1,1666372724
20,46,7,1669690538
28,76,3,1671822501
5,32,3,1666452379
2,55,6,1665296026
12,67,5,1665582241
24,108,1,1665615114
2,64,3,1670111257
5,71,10,1669604698
5,94,10,1668688692
1,52,2,1669903762
5,1,1,1667049192
20,21,9,1668235066
8,72,9,1667705330
27,6,8,1665799052
28,25,4,1666763828
20,43,2,1672076357
12,58,8,1666274040
1,12,1,1665625691
8,12,3,1670199954
2,40,4,1665816208
5,31,6,1671051714
24,29,9,1666325575
21,23,6,1670533566
27,91,1,1670416071
16,4,9,1669399205
21,69,8,1667964911
20,70,5,1668984342
21,14,10,1671592104
28,72,3,1665030589
5,60,9,1671818845
12,9,8,1666940308
26,96,2,1672334334
2,98,5,1670420873
27,103,6,1665145813
28,75,4,1668348972
16,108,9,1665546575
16,61,3,1665553652
16,53,5,1665501367
8,82,7,1669073303
20,53,3,1672368953
24,110,8,1667507769
2,77,3,1669394939
8,58,9,1672406867
25,70,4,1665412338
12,78,6,1664606430
20,20,8,1671961520
2,30,7,1668915007
12,27,1,1671816973
27,23,9,1668994876
21,106,5,1669760514
26,82,5,1665833782
27,43,10,1664619299
28,61,5,1666846044
16,88,10,1667866676
5,110,8,1671984349
20,40,1,1666915013
28,94,9,1665853247
20,99,4,1670853416
2,96,8,1671367063
8,92,1,1670113360
5,74,8,1665491897
26,27,2,1672196321
1,70,1,1668794521
24,84,8,1671069276
5,11,5,1667490679
24,34,4,1668836152
26,20,9,1671664248
5,95,8,1665028641
16,82,4,1667107535
26,61,5,1665017180
16,38,1,1666489371
8,71,3,1668089435
24,26,7,1670814544
27,45,1,1667340617
27,60,7,1666901041
16,41,5,1671027021
21,34,6,1667723910
16,67,10,1669052880
25,46,8,1665725281
5,42,6,1670281876
20,72,3,1669078140
27,10,1,1670827301
8,37,4,1671854245
16,107,4,1668412442
2,18,6,1671495996
27,35,3,1669451161
25,103,5,1670551736
25,48,3,1672043578
5,30,9,1667543243
5,68,4,1671568470
16,19,5,1667408144
24,95,5,1670032045
21,39,2,1667100335
20,112,4,1665666811
1,65,4,1670851941
27,41,8,1671386251
2,25,1,1668414968
2,75,1,1670219259
27,57,8,1668778676
12,43,4,1668459486
21,109,5,1671129295
16,99,8,1671013578
28,106,7,1664623408
27,94,3,1666904692
2,44,9,1671534096
5,28,6,1668831209
27,19,7,1668306777
2,33,10,1668769571
20,104,5,1668665248
21,17,5,1664977079
26,38,10,1671098929
1,94,10,1669074094
1,21,8,1669223889
12,11,6,1665379318
26,60,10,1670995909
16,90,2,1665167004
25,93,4,1671229497
16,30,4,1665040599
28,22,7,1671373612
5,64,5,1668032570
12,50,6,1671114801
16,81,7,1671349757
28,100,1,1666288990
8,97,9,1665921178
2,89,8,1669547701
28,7,8,1667385448
25,58,6,1671373695
2,72,4,1664561006
8,16,3,1668674491
1,56,6,1667881532
2,82,6,1669883133
5,105,5,1669464360
25,105,1,1670032182
2,85,6,1667339231
28,9,6,1670778820
1,73,8,1671483184
21,45,8,1670177688
16,59,8,1669325999
1,72,6,1670410359
20,103,1,1672339019
21,59,8,1670180532
25,53,10,1667685640
26,4,7,1667509676
2,14,5,1666665139
8,30,7,1672360241
5,23,3,1672072457
2,88,5,1670229221
1,18,1,1672014599
26,11,1,1664629503
2,65,10,1669191580
1,97,6,1672115163
8,103,4,1669169707
16,3,2,1664770054
25,38,2,1671784810
2,7,7,1666144660
27,15,2,1667756194
16,17,4,1664703863
28,103,1,1671154571
25,11,1,1665981530
20,29,10,1669635266
5,18,6,1665946194
16,105,5,1669337040
27,82,7,1665619145
26,113,1,1668802462
12,20,2,1672345414
28,10,7,1667283132
24,78,5,1670770006
20,36,6,1670418119
5,49,4,1670575060
16,72,6,1665648374
21,5,3,1665931992
20,56,1,1665925180
2,101,7,1669314501
21,53,6,1668411852
8,20,7,1668378942
12,30,9,1668633194
2,53,8,1666123160
20,48,2,1666019754
24,5,3,1672117860
27,11,4,1671063124
2,56,5,1666106388
27,85,3,1669869931
26,87,6,1665308465
21,75,4,1669119357
16,52,6,1666699435
5,55,10,1669066510
5,104,1,1670190733
16,47,1,1667018536
21,67,8,1671208370
1,47,8,1671403429
8,70,3,1672410981
24,77,8,1666715707
5,100,10,1671641162
24,39,4,1672087958
12,41,9,1669773420
25,86,4,1668760964
21,51,5,1670929933
28,19,7,1668957732
25,109,3,1671340150
5,58,7,1670706250
25,25,6,1666076354
21,58,5,1672255352
